character,tic,count
Chandler,oh,746
Chandler,okay,699
Chandler,so,685
Chandler,well,629
Chandler,yeah,536
Chandler,right,479
Chandler,like,411
Chandler,really,294
Chandler,uh,277
Chandler,ok,132
Joey,yeah,921
Joey,oh,803
Joey,right,672
Joey,so,653
Joey,okay,549
Joey,like,546
Joey,well,516
Joey,uh,457
Joey,really,312
Joey,huh,166
Monica,oh,916
Monica,so,722
Monica,okay,667
Monica,right,439
Monica,well,434
Monica,yeah,398
Monica,really,390
Monica,like,346
Monica,ok,135
Monica,uh,127
Phoebe,oh,1391
Phoebe,so,861
Phoebe,okay,817
Phoebe,yeah,772
Phoebe,well,561
Phoebe,like,519
Phoebe,right,408
Phoebe,really,378
Phoebe,ok,262
Phoebe,um,146
Rachel,oh,1822
Rachel,so,862
Rachel,okay,819
Rachel,well,798
Rachel,yeah,766
Rachel,right,550
Rachel,like,440
Rachel,really,432
Rachel,uh,271
Rachel,ok,258
Ross,oh,878
Ross,okay,833
Ross,yeah,803
Ross,so,728
Ross,uh,673
Ross,well,600
Ross,right,516
Ross,like,461
Ross,really,338
Ross,ok,237
